# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.003638643    	U              	(-1.13162517e-01 -4.83111741e-03 -7.05651705e-03)	(1.98639069e+00 -4.75000504e-01 2.49997051e-02)	3	(1.95012570e-01 3.62299189e-03 1.34746942e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.003638643    	alpha.water    	-5.01900074e-17	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000003e+00	(2.23832099e+00 2.50000914e-02 3.24998396e-01)	2
0.003638643    	k              	9.23640734e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00070350e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.003638643    	epsilon        	9.07142912e-02	(8.40303013e-01 -1.12678242e-01 1.87781445e-01)	1	2.10522019e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0044177552   	p              	-9.81013186e+00	(2.28876383e+00 -4.75000031e-01 1.00000000e+00)	2	5.12276094e+03	(3.19483357e+00 4.75000008e-01 0.00000000e+00)	2
0.0044177552   	p_rgh          	-3.52625197e+00	(2.03690728e+00 3.25001038e-01 5.74996492e-01)	3	5.38872021e+03	(3.19483435e+00 4.25000000e-01 5.24999860e-01)	2
0.0044177552   	U              	(-7.16264536e-03 -5.44606615e-03 2.10412152e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(8.09580768e-02 1.22541493e-03 1.31413951e-01)	(1.93616222e+00 -4.75000326e-01 5.74995329e-01)	3
0.0044177552   	alpha.water    	-1.93927724e-16	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000003e+00	(2.23832962e+00 2.50000819e-02 3.74998259e-01)	2
0.0044177552   	k              	9.08776853e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00094147e-01	(2.03692138e+00 2.50001664e-02 6.24996516e-01)	3
0.0044177552   	epsilon        	9.00083899e-02	(8.40303013e-01 -1.12678242e-01 1.87781445e-01)	1	2.06059298e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0053343579   	p              	-9.81018415e+00	(2.28876440e+00 4.25000068e-01 1.00000000e+00)	2	5.12300158e+03	(3.19483360e+00 -4.25000000e-01 0.00000000e+00)	2
0.0053343579   	p_rgh          	-3.46871967e+00	(2.03690728e+00 3.25001038e-01 5.74996492e-01)	3	5.38836199e+03	(3.19483435e+00 4.25000000e-01 5.24999860e-01)	2
0.0053343579   	U              	(-8.56646255e-03 -6.50106091e-03 2.44641343e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(9.88989761e-02 8.87441236e-04 1.46458560e-01)	(1.93616222e+00 -4.75000326e-01 5.74995329e-01)	3
0.0053343579   	alpha.water    	-7.82045681e-16	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000004e+00	(2.23832099e+00 2.50000914e-02 3.24998396e-01)	2
0.0053343579   	k              	8.91861487e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00124646e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0053343579   	epsilon        	8.95094124e-02	(8.40303013e-01 -1.12678242e-01 1.87781445e-01)	1	2.01156618e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
