# Region       : all 
# Cells        : 31280
# Volume       : 3.20955384e+00
# Time         	volIntegrate(alpha.water)
0.44783777     	6.64599767e-01
0.44827213     	6.64599761e-01
0.44869098     	6.64599757e-01
0.44910984     	6.64599752e-01
0.44952869     	6.64599748e-01
0.44994754     	6.64599744e-01
0.45036639     	6.64599740e-01
0.45078525     	6.64599737e-01
0.45122404     	6.64599734e-01
0.45166284     	6.64599732e-01
0.45210164     	6.64599729e-01
0.45256625     	6.64599727e-01
0.45303086     	6.64599725e-01
0.45349547     	6.64599722e-01
0.45396008     	6.64599719e-01
0.45442469     	6.64599716e-01
0.4548893      	6.64599712e-01
0.45535391     	6.64599707e-01
0.45581852     	6.64599700e-01
0.45628312     	6.64599691e-01
0.45674773     	6.64599681e-01
0.45721234     	6.64599670e-01
0.45767695     	6.64599659e-01
0.45814156     	6.64599649e-01
0.45860617     	6.64599640e-01
0.45907078     	6.64599633e-01
0.45953539     	6.64599627e-01
0.46           	6.64599622e-01
0.46051282     	6.64599615e-01
0.4610696      	6.64599606e-01
0.46166117     	6.64599596e-01
0.46227247     	6.64599588e-01
0.46288376     	6.64599583e-01
0.46349505     	6.64599579e-01
0.46410635     	6.64599578e-01
0.46471764     	6.64599576e-01
0.46535441     	6.64599575e-01
0.46599117     	6.64599573e-01
0.46665826     	6.64599572e-01
0.46732535     	6.64599571e-01
0.46799243     	6.64599571e-01
0.46869876     	6.64599571e-01
0.46940509     	6.64599571e-01
0.47016187     	6.64599572e-01
0.47091865     	6.64599572e-01
0.47167543     	6.64599573e-01
0.47243221     	6.64599574e-01
0.47318899     	6.64599575e-01
0.47394577     	6.64599576e-01
0.47470254     	6.64599575e-01
0.47545932     	6.64599573e-01
0.4762161      	6.64599570e-01
0.47697288     	6.64599566e-01
0.47772966     	6.64599564e-01
0.47848644     	6.64599562e-01
0.47924322     	6.64599560e-01
0.48           	6.64599557e-01
0.48076923     	6.64599554e-01
0.48153846     	6.64599551e-01
0.48230769     	6.64599549e-01
0.48311189     	6.64599546e-01
0.48391608     	6.64599543e-01
0.48472028     	6.64599541e-01
0.48552448     	6.64599538e-01
0.48632867     	6.64599536e-01
0.48713287     	6.64599534e-01
0.48793706     	6.64599531e-01
0.48874126     	6.64599529e-01
0.48954545     	6.64599527e-01
0.49034965     	6.64599525e-01
0.49115385     	6.64599523e-01
0.49195804     	6.64599521e-01
0.49276224     	6.64599518e-01
0.49356643     	6.64599516e-01
0.49437063     	6.64599514e-01
0.49517483     	6.64599512e-01
0.49597902     	6.64599510e-01
0.49678322     	6.64599508e-01
0.49758741     	6.64599505e-01
0.49839161     	6.64599503e-01
0.4991958      	6.64599500e-01
0.5            	6.64599497e-01
0.50083333     	6.64599493e-01
0.50166667     	6.64599489e-01
0.5025         	6.64599485e-01
0.50333333     	6.64599480e-01
0.50416667     	6.64599475e-01
0.505          	6.64599470e-01
0.50583333     	6.64599465e-01
0.50666667     	6.64599459e-01
0.5075         	6.64599453e-01
0.50833333     	6.64599448e-01
0.50916667     	6.64599442e-01
0.51           	6.64599436e-01
0.51076923     	6.64599432e-01
0.51153846     	6.64599427e-01
0.51230769     	6.64599423e-01
0.51307692     	6.64599419e-01
0.51376923     	6.64599416e-01
0.51446154     	6.64599414e-01
0.51515385     	6.64599411e-01
0.51584615     	6.64599409e-01
0.51653846     	6.64599407e-01
0.51711538     	6.64599406e-01
0.51769231     	6.64599404e-01
0.51826923     	6.64599403e-01
0.51884615     	6.64599402e-01
0.51942308     	6.64599401e-01
0.52           	6.64599400e-01
0.520625       	6.64599399e-01
0.52123047     	6.64599398e-01
0.52183594     	6.64599397e-01
0.52242188     	6.64599396e-01
0.52300781     	6.64599395e-01
0.52359375     	6.64599394e-01
0.52415948     	6.64599393e-01
0.52472522     	6.64599393e-01
0.52527074     	6.64599392e-01
0.52581627     	6.64599391e-01
0.5263618      	6.64599391e-01
0.52688635     	6.64599390e-01
0.52741089     	6.64599390e-01
0.52793544     	6.64599389e-01
0.52845998     	6.64599388e-01
0.52896172     	6.64599388e-01
0.52946346     	6.64599388e-01
0.5299652      	6.64599387e-01
0.53046694     	6.64599387e-01
0.53096868     	6.64599386e-01
0.53147042     	6.64599386e-01
0.53197216     	6.64599386e-01
0.5324739      	6.64599385e-01
0.53297564     	6.64599385e-01
0.53344393     	6.64599385e-01
0.53391222     	6.64599385e-01
0.53438051     	6.64599384e-01
0.5348488      	6.64599384e-01
0.5353171      	6.64599384e-01
0.53578539     	6.64599384e-01
0.53625368     	6.64599384e-01
0.53672197     	6.64599384e-01
0.53719026     	6.64599383e-01
0.53765855     	6.64599383e-01
0.53812684     	6.64599383e-01
0.53859513     	6.64599383e-01
0.53906342     	6.64599383e-01
0.53953171     	6.64599383e-01
0.54           	6.64599383e-01
0.54051282     	6.64599383e-01
0.54105413     	6.64599383e-01
0.54161136     	6.64599382e-01
0.5421522      	6.64599382e-01
0.54266214     	6.64599382e-01
0.54315751     	6.64599382e-01
0.54365288     	6.64599382e-01
0.54413367     	6.64599382e-01
0.54460033     	6.64599382e-01
0.54506699     	6.64599382e-01
0.54553364     	6.64599382e-01
0.5460003      	6.64599382e-01
0.5464519      	6.64599382e-01
0.54690351     	6.64599382e-01
0.54735511     	6.64599382e-01
0.54780671     	6.64599381e-01
0.54825832     	6.64599381e-01
0.54870992     	6.64599381e-01
0.54914415     	6.64599381e-01
0.54957839     	6.64599381e-01
0.55001262     	6.64599381e-01
0.55044686     	6.64599381e-01
0.55088109     	6.64599381e-01
0.55129559     	6.64599381e-01
0.55171008     	6.64599381e-01
0.55212458     	6.64599381e-01
0.55253907     	6.64599381e-01
0.55295357     	6.64599381e-01
0.55336806     	6.64599381e-01
0.55378256     	6.64599381e-01
0.55419706     	6.64599381e-01
0.55461155     	6.64599381e-01
0.55502605     	6.64599381e-01
0.55544054     	6.64599381e-01
0.55585504     	6.64599381e-01
0.55626954     	6.64599381e-01
0.55668403     	6.64599381e-01
0.55709853     	6.64599381e-01
0.55751302     	6.64599381e-01
0.55792752     	6.64599381e-01
0.55834202     	6.64599381e-01
0.55875651     	6.64599381e-01
0.55917101     	6.64599381e-01
0.5595855      	6.64599381e-01
0.56           	6.64599380e-01
0.56043478     	6.64599380e-01
0.56086957     	6.64599380e-01
0.56131446     	6.64599380e-01
0.56175935     	6.64599380e-01
0.56220425     	6.64599380e-01
0.56264914     	6.64599380e-01
0.56310574     	6.64599380e-01
0.56356234     	6.64599380e-01
0.56401895     	6.64599380e-01
0.56448898     	6.64599380e-01
0.56495901     	6.64599380e-01
0.56542904     	6.64599380e-01
0.56591474     	6.64599380e-01
0.56640044     	6.64599380e-01
0.56688613     	6.64599380e-01
0.56737183     	6.64599380e-01
0.56785753     	6.64599380e-01
0.56834323     	6.64599380e-01
0.5688095      	6.64599380e-01
0.56927577     	6.64599380e-01
0.56974204     	6.64599379e-01
0.57020831     	6.64599379e-01
0.57067458     	6.64599379e-01
0.57114086     	6.64599379e-01
0.57158381     	6.64599379e-01
0.57202677     	6.64599379e-01
0.57246973     	6.64599379e-01
0.57291268     	6.64599379e-01
0.57335564     	6.64599379e-01
0.5737986      	6.64599379e-01
0.57424156     	6.64599379e-01
0.57468451     	6.64599379e-01
0.57512747     	6.64599379e-01
0.57557043     	6.64599379e-01
0.57601338     	6.64599379e-01
0.57645634     	6.64599379e-01
0.5768993      	6.64599379e-01
0.57734226     	6.64599379e-01
0.57778521     	6.64599379e-01
0.57822817     	6.64599379e-01
0.57867113     	6.64599379e-01
0.57911409     	6.64599379e-01
0.57955704     	6.64599379e-01
0.58           	6.64599379e-01
0.58045455     	6.64599378e-01
0.58090909     	6.64599378e-01
0.58136364     	6.64599378e-01
0.58181818     	6.64599378e-01
0.58227273     	6.64599378e-01
0.58271591     	6.64599378e-01
0.58315909     	6.64599378e-01
0.58360227     	6.64599378e-01
0.58404545     	6.64599378e-01
0.58448864     	6.64599378e-01
0.58493182     	6.64599378e-01
0.585375       	6.64599378e-01
0.58580515     	6.64599378e-01
0.58623529     	6.64599378e-01
0.58666544     	6.64599378e-01
0.58709559     	6.64599378e-01
0.58752574     	6.64599378e-01
0.58794154     	6.64599378e-01
0.58835735     	6.64599378e-01
0.58877316     	6.64599378e-01
0.58918897     	6.64599378e-01
0.58960478     	6.64599378e-01
0.59002059     	6.64599377e-01
0.5904364      	6.64599377e-01
0.59085221     	6.64599377e-01
0.59126801     	6.64599377e-01
0.59168382     	6.64599377e-01
0.59209963     	6.64599377e-01
0.59251544     	6.64599377e-01
0.59293125     	6.64599377e-01
0.59334706     	6.64599377e-01
0.59376287     	6.64599377e-01
0.59417868     	6.64599377e-01
0.59459449     	6.64599377e-01
0.59501029     	6.64599377e-01
0.5954261      	6.64599377e-01
0.59584191     	6.64599377e-01
0.59625772     	6.64599377e-01
0.59667353     	6.64599377e-01
0.59708934     	6.64599377e-01
0.59750515     	6.64599377e-01
0.59792096     	6.64599377e-01
0.59826746     	6.64599377e-01
0.59861397     	6.64599377e-01
0.59896048     	6.64599377e-01
0.59930699     	6.64599377e-01
0.59965349     	6.64599377e-01
0.6            	6.64599377e-01
0.60038462     	6.64599377e-01
0.60079327     	6.64599377e-01
0.60120192     	6.64599377e-01
0.60161058     	6.64599377e-01
0.60201923     	6.64599377e-01
0.60242788     	6.64599377e-01
0.60283654     	6.64599377e-01
0.60324519     	6.64599377e-01
0.60365385     	6.64599377e-01
0.6040625      	6.64599377e-01
0.60447115     	6.64599377e-01
0.60487981     	6.64599377e-01
0.60529981     	6.64599377e-01
0.60571982     	6.64599377e-01
0.60613982     	6.64599377e-01
0.60655983     	6.64599377e-01
0.60697983     	6.64599377e-01
0.60739984     	6.64599377e-01
0.60781985     	6.64599377e-01
0.60825485     	6.64599377e-01
0.60868986     	6.64599377e-01
0.60912486     	6.64599377e-01
0.60955987     	6.64599377e-01
0.60999487     	6.64599377e-01
0.61042988     	6.64599377e-01
0.61086488     	6.64599377e-01
0.61132164     	6.64599377e-01
0.6117784      	6.64599377e-01
0.61223515     	6.64599377e-01
0.61269191     	6.64599377e-01
0.61314866     	6.64599377e-01
0.61360542     	6.64599377e-01
0.61406217     	6.64599376e-01
0.61451893     	6.64599376e-01
0.61497569     	6.64599376e-01
0.61543244     	6.64599376e-01
0.6158892      	6.64599376e-01
0.61634595     	6.64599376e-01
0.61680271     	6.64599376e-01
0.61725947     	6.64599376e-01
0.61771622     	6.64599376e-01
0.61817298     	6.64599376e-01
0.61862973     	6.64599376e-01
0.61908649     	6.64599376e-01
0.61954324     	6.64599376e-01
0.62           	6.64599376e-01
0.6205         	6.64599376e-01
0.62102703     	6.64599375e-01
0.62155405     	6.64599375e-01
0.62209658     	6.64599375e-01
0.62263911     	6.64599375e-01
0.62319914     	6.64599375e-01
0.62375917     	6.64599375e-01
0.6243192      	6.64599374e-01
0.62487922     	6.64599374e-01
0.62543925     	6.64599374e-01
0.62599928     	6.64599374e-01
0.62655931     	6.64599374e-01
0.62711934     	6.64599374e-01
0.62767937     	6.64599373e-01
0.6282394      	6.64599373e-01
