# y+ ()        
# Time         	patch          	min            	max            	average        
0.82           	right	1.17054016e+02	1.86367976e+03	7.87152103e+02
0.82           	stlSurface	4.30094685e+01	2.87071020e+03	5.29969986e+02
0.82           	back	1.16073990e+02	5.86707350e+03	8.29393437e+02
0.82           	bottom	4.78183715e+01	7.48437947e+03	2.52932242e+03
0.82           	top	0.00000000e+00	2.14602912e+02	5.21127997e+01
0.82           	front	1.16067543e+02	5.86609036e+03	8.29297366e+02
0.84           	left	1.19973264e+02	7.67380142e+03	3.02214764e+03
0.84           	right	1.16691246e+02	1.84624242e+03	7.73591836e+02
0.84           	stlSurface	4.28497295e+01	2.85010843e+03	5.25235923e+02
0.84           	back	1.15922218e+02	6.37790914e+03	8.57680370e+02
0.84           	bottom	4.76407721e+01	7.30775786e+03	2.50329565e+03
0.84           	top	0.00000000e+00	8.82921060e+02	5.52798111e+01
0.84           	front	1.15922296e+02	6.37262035e+03	8.57556375e+02
0.86           	left	1.33766831e+02	7.51425360e+03	3.24746469e+03
0.86           	right	1.16289455e+02	1.82863130e+03	7.47104064e+02
0.86           	stlSurface	4.28120446e+01	2.82357136e+03	5.20856395e+02
0.86           	back	1.15523075e+02	6.95027767e+03	8.79801055e+02
0.86           	bottom	4.75988735e+01	7.11426016e+03	2.47731328e+03
0.86           	top	0.00000000e+00	9.40210759e+02	5.83908006e+01
0.86           	front	1.15523172e+02	6.94896040e+03	8.79621135e+02
0.88           	left	1.34908338e+02	7.30851661e+03	3.41850005e+03
0.88           	right	1.10916813e+02	1.80926923e+03	6.87248814e+02
0.88           	stlSurface	4.27677856e+01	2.79336656e+03	5.16980228e+02
0.88           	back	1.10185402e+02	7.20488812e+03	9.04202811e+02
0.88           	bottom	4.75376214e+01	6.97785856e+03	2.45460514e+03
0.88           	top	0.00000000e+00	1.00557561e+03	6.13566792e+01
0.88           	front	1.10185437e+02	7.20346665e+03	9.04070699e+02
0.9            	left	1.34653932e+02	7.09658165e+03	3.55834195e+03
0.9            	right	1.10912018e+02	1.78607455e+03	6.80646256e+02
0.9            	stlSurface	4.18132929e+01	2.76131523e+03	5.11550626e+02
0.9            	back	1.10180639e+02	7.24623370e+03	9.24138341e+02
0.9            	bottom	4.64684514e+01	7.03889537e+03	2.43616656e+03
0.9            	top	0.00000000e+00	1.09989762e+03	6.37566218e+01
0.9            	front	1.10180685e+02	7.24537215e+03	9.24026767e+02
0.92           	left	1.34716111e+02	6.88489543e+03	3.68052732e+03
0.92           	right	1.10847944e+02	1.76326729e+03	6.73917750e+02
0.92           	stlSurface	4.08822200e+01	2.72961458e+03	5.06440079e+02
0.92           	back	1.10116988e+02	7.16813875e+03	9.42092741e+02
0.92           	bottom	4.54206746e+01	7.01080614e+03	2.42225218e+03
0.92           	top	0.00000000e+00	1.12709685e+03	6.46365195e+01
0.92           	front	1.10117052e+02	7.16705923e+03	9.42003613e+02
0.94           	left	1.35521058e+02	6.68443866e+03	3.77050710e+03
0.94           	right	1.10730351e+02	1.74901652e+03	6.66795059e+02
0.94           	stlSurface	4.00567787e+01	2.69928541e+03	5.01902437e+02
0.94           	back	1.10000170e+02	7.02265432e+03	9.57827403e+02
0.94           	bottom	4.44804208e+01	7.15413930e+03	2.40660612e+03
0.94           	top	0.00000000e+00	1.08237589e+03	6.62326096e+01
0.94           	front	1.10000252e+02	7.02144171e+03	9.57763250e+02
0.96           	left	1.38867264e+02	6.51657150e+03	3.83015544e+03
0.96           	right	1.10559470e+02	1.73510045e+03	6.58698257e+02
0.96           	stlSurface	3.92634344e+01	2.67075526e+03	4.98018169e+02
0.96           	back	1.09830416e+02	7.20856117e+03	9.69447462e+02
0.96           	bottom	4.35994641e+01	7.30586464e+03	2.39410270e+03
0.96           	top	0.00000000e+00	9.81768386e+02	6.68445729e+01
0.96           	front	1.09830518e+02	7.20771981e+03	9.69434108e+02
0.98           	left	1.41174583e+02	6.37391499e+03	3.86319217e+03
0.98           	right	1.10328501e+02	1.72139051e+03	6.48061704e+02
0.98           	stlSurface	3.86545420e+01	2.64416791e+03	4.94391467e+02
0.98           	back	1.09600970e+02	7.37178317e+03	9.78526356e+02
0.98           	bottom	4.28827595e+01	7.37718376e+03	2.38762614e+03
0.98           	top	0.00000000e+00	8.79517272e+02	6.71683747e+01
0.98           	front	1.09601088e+02	7.37107237e+03	9.78508794e+02
1              	left	1.44775085e+02	6.26574436e+03	3.88395366e+03
1              	right	1.10029119e+02	1.70768244e+03	6.28853053e+02
1              	stlSurface	3.80799186e+01	2.61904217e+03	4.90871224e+02
1              	back	1.09303562e+02	7.48481913e+03	9.89430219e+02
1              	bottom	4.22452811e+01	7.38622198e+03	2.38350036e+03
1              	top	0.00000000e+00	8.09244690e+02	6.72238530e+01
1              	front	1.09303697e+02	7.48425546e+03	9.89466585e+02
1.02           	left	1.49456459e+02	6.20076825e+03	3.87321213e+03
1.02           	right	1.04058208e+02	1.69337001e+03	5.69724536e+02
1.02           	stlSurface	3.76305280e+01	2.59540128e+03	4.87980046e+02
1.02           	back	1.03371648e+02	7.53331149e+03	1.00223565e+03
1.02           	bottom	4.16003932e+01	7.35299490e+03	2.37866575e+03
1.02           	top	0.00000000e+00	6.99530651e+02	6.70497856e+01
1.02           	front	1.03371707e+02	7.53290188e+03	1.00228633e+03
1.04           	left	1.54837293e+02	6.14986175e+03	3.86424297e+03
1.04           	right	1.04133120e+02	1.67643704e+03	5.64895143e+02
1.04           	stlSurface	3.70569275e+01	2.57325601e+03	4.85922914e+02
1.04           	back	1.03446066e+02	7.79774640e+03	1.01801805e+03
1.04           	bottom	4.04503019e+01	7.30812842e+03	2.37293186e+03
1.04           	top	0.00000000e+00	6.33056025e+02	6.70584328e+01
1.04           	front	1.03446127e+02	7.79854108e+03	1.01804332e+03
1.06           	left	1.60574258e+02	6.10410793e+03	3.82943682e+03
1.06           	right	1.04139734e+02	1.65709464e+03	5.60022455e+02
1.06           	stlSurface	3.61935643e+01	2.55196655e+03	4.83226655e+02
1.06           	back	1.03452636e+02	8.32008023e+03	1.03293317e+03
1.06           	bottom	3.96209698e+01	7.23940433e+03	2.37143503e+03
1.06           	top	0.00000000e+00	1.07405183e+03	7.24744581e+01
1.06           	front	1.03452721e+02	8.32043571e+03	1.03287548e+03
1.08           	left	1.66306007e+02	6.05916886e+03	3.78172058e+03
1.08           	right	1.04077208e+02	1.63344289e+03	5.55014786e+02
1.08           	stlSurface	3.61294268e+01	2.53096428e+03	4.82218257e+02
1.08           	back	1.03390523e+02	9.02174535e+03	1.04585267e+03
1.08           	bottom	3.95858319e+01	7.13451641e+03	2.37457717e+03
1.08           	top	0.00000000e+00	9.82372567e+02	7.05519185e+01
1.08           	front	1.03390627e+02	9.02254917e+03	1.04579231e+03
1.1            	left	1.71619921e+02	6.01503089e+03	3.71655514e+03
1.1            	right	1.03954324e+02	1.61346520e+03	5.49717028e+02
1.1            	stlSurface	3.75577453e+01	2.50964215e+03	4.81727780e+02
1.1            	back	1.03268450e+02	9.60473274e+03	1.05035879e+03
1.1            	bottom	4.06188106e+01	6.99194844e+03	2.37721399e+03
1.1            	top	0.00000000e+00	8.85629468e+02	7.02869351e+01
1.1            	front	1.03268556e+02	9.60463838e+03	1.05034871e+03
1.12           	left	1.75992754e+02	5.97247125e+03	3.64213942e+03
1.12           	right	1.03771744e+02	1.60210358e+03	5.43837167e+02
1.12           	stlSurface	4.15914008e+01	2.48648327e+03	4.81468329e+02
1.12           	back	1.03087074e+02	9.87979128e+03	1.06298082e+03
1.12           	bottom	4.39583492e+01	6.81512040e+03	2.38955825e+03
1.12           	top	0.00000000e+00	8.07810694e+02	7.01279355e+01
1.12           	front	1.03087194e+02	9.87930786e+03	1.06298409e+03
1.14           	left	1.78909413e+02	5.93481876e+03	3.55679356e+03
1.14           	right	1.03526809e+02	1.59096594e+03	5.36742766e+02
1.14           	stlSurface	5.59424492e+01	2.45615271e+03	4.81887007e+02
1.14           	back	1.02843755e+02	1.04200512e+04	1.05287634e+03
1.14           	bottom	5.68443090e+01	7.80234446e+03	2.41782819e+03
1.14           	top	0.00000000e+00	7.53633658e+02	7.12732218e+01
1.14           	front	1.02843876e+02	1.04198935e+04	1.05308204e+03
